id,board,black_score,best_move
0,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-26.0,e7e5
1,rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,-58.0,g8f6
2,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-68.0,d5d6
3,rnb1kbnr/ppp1pppp/8/q7/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,-74.0,g8f6
4,rnb1kbnr/pp2pppp/2p5/q7/3P4/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 1 5,-74.0,g8f6
5,rnb1kb1r/pp2pppp/2p2n2/q7/2BP4/2N2N2/PPP2PPP/R1BQK2R b KQkq - 3 6,-70.0,c8f5
6,rn2kb1r/pp2pppp/2p2n2/q7/2BP2b1/2N2N1P/PPP2PP1/R1BQK2R b KQkq - 0 7,-72.0,a5h5
7,rn2kb1r/pp2pppp/2p2n2/q6b/2BP4/2N2N1P/PPP2PP1/R1BQ1RK1 b kq - 2 8,-30.0,e7e6
8,rn2kb1r/pp3ppp/2p1pn2/q6b/2BP2P1/2N2N1P/PPP2P2/R1BQ1RK1 b kq - 0 9,-29.0,h5g6
9,rn2kb1r/pp3ppp/2p1p3/q6b/2BP2P1/2N2N2/PPP2P2/R1BQ1RK1 b kq - 0 10,-212.0,h5g4
10,rn2kb1r/pp3ppp/2p1p3/q7/3P2b1/2N2N2/PPP1BP2/R1BQ1RK1 b kq - 1 11,-216.0,b8d7
11,rn2k2r/pp3ppp/2pbp3/q7/3PN1b1/5N2/PPP1BP2/R1BQ1RK1 b kq - 3 12,-338.0,a5c7
12,rn2k2r/ppb2ppp/2p1p3/q1N5/3P2b1/5N2/PPP1BP2/R1BQ1RK1 b kq - 5 13,-342.0,g4f3
13,rn2k2r/pN3ppp/2pbp3/q7/3P2b1/5N2/PPP1BP2/R1BQ1RK1 b kq - 0 14,-437.0,a5c7
14,rn2k2r/p1q2ppp/2pNp3/8/3P2b1/5N2/PPP1BP2/R1BQ1RK1 b kq - 0 15,-421.0,c7d6
15,rn2k2r/p4ppp/2pqp3/8/3P2b1/5N2/PPPQBP2/R1B2RK1 b kq - 1 16,-414.0,b8d7
16,rn2k2r/p4ppp/2pqp3/5b2/2PP4/5N2/PP1QBP2/R1B2RK1 b kq - 0 17,-440.0,h7h5
17,rn2k2r/p4pp1/2pqp3/5b1p/2PP1Q2/5N2/PP2BP2/R1B2RK1 b kq - 1 18,-442.0,d6f4
18,rn2k2r/p4pp1/2p1p3/3P1b1p/1qP2Q2/5N2/PP2BP2/R1B2RK1 b kq - 0 19,-495.0,e8g8
19,rn2k2r/p4pp1/4p3/3P1b1p/1q3Q2/5N2/PP2BP2/R1B2RK1 b kq - 0 20,-513.0,b4f4
20,rn2k2r/p4pp1/4p3/3P1b1p/5B2/5N2/PP2BP2/R4RK1 b kq - 0 21,-504.0,e8g8
21,rn2k2r/p4pp1/8/3p1b1p/3N1B2/8/PP2BP2/R4RK1 b kq - 1 22,-516.0,f5e6
22,rn2k2r/p2b1pp1/8/3p3p/3N1B2/5B2/PP3P2/R4RK1 b kq - 3 23,-532.0,e8g8
23,r3k2r/p2b1pp1/n7/3p3p/3N1B2/5B2/PP3P2/R3R1K1 b kq - 5 24,-564.0,e8f8
24,r4k1r/p2b1pp1/n7/3B3p/3N1B2/8/PP3P2/R3R1K1 b - - 0 25,-570.0,a8d8
25,4rk1r/p2b1pp1/n2B4/3B3p/3N4/8/PP3P2/R3R1K1 b - - 2 26,-708.0,f8g8
26,4R1kr/p2b1pp1/n2B4/3B3p/3N4/8/PP3P2/R5K1 b - - 0 27,-707.0,d7e8
27,4b1kr/p4pp1/n2B4/3B3p/3N4/8/PP3P2/4R1K1 b - - 1 28,-693.0,e8a4
28,4b2r/p3Rppk/n2B4/3B3p/3N4/8/PP3P2/6K1 b - - 3 29,-730.0,h5h4
29,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,-27.0,e7e5
30,rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq - 0 2,-57.0,g8f6
31,rnb1kbnr/ppp1pppp/8/3q4/8/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 3,-60.0,d5d6
32,rnb1kbnr/ppp1pppp/8/q7/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,-61.0,g8f6
